name,location,ratings,review,Number of   ,Room    Score,Room Type,Bed Type,price
Sabai Sabana - formerly Sabai Wing,Pattaya,7.6,Good,70,8.1,Standard Twin Room,2 twin beds,"   78,459"
Marina House MUAYTHAI Ta-iad Phuket,Chalong,8.4,Very Good,44,8.5,Standard Double Room,1 queen bed,"   69,733"
Koh Tao Cabana,"Sairee Beach, Ko Tao",8.8,Excellent,244,9.1,Cottage Treetop Villa,1 king bed,"   297,597"
Arize Hotel Sukhumvit,"Khlong Toei, Bangkok",7.4,Good,838,,Deluxe Double Room,1 king bed,"   148,604"
AARIHA SUITES,Ao Nang Beach,6.9,Review score,66,,Deluxe Double Room with Balcony,1 king bed,"   40,230"
AARIHA SUITES,Ao Nang Beach,6.9,Review score,66,,Deluxe Double Room with Balcony,1 king bed,"   40,230"
Grace Hotel,"Wattana, Bangkok",6.5,Review score,954,,Superior Double or Twin Room,Multiple bed types,"   106,876"
Baan Hin Sai Resort & Spa - SHA Extra Plus,Chaweng Noi Beach,8.3,Very Good,126,8.2,Standard Double or Twin Room,   1 double or 2 twins,"   116,388"
Papillon Resort,"Chaweng Beachfront, Chaweng",8.5,Very Good,222,8.6,Superior Bungalow,1 queen bed,"   92,329"
Lanna Palace 2004,"Chang Khlan, Chiang Mai",6.1,Review score,25,,Standard Twin Room,2 twin beds,"   55,129"
Santhiya Koh Yao Yai Resort & Spa,Ko Yao Yai,8.6,Excellent,"1,083",8.9,Plus Round Trip Join Speedboat As Scheduled Transfer - Supreme Deluxe Sea View,1 queen bed,"   292,272"
SR Sea View Apartments,Patong Beach,6.8,Review score,106,,Deluxe Double Room with Sea View,1 queen bed,"   46,189"
Grand Orlov,Patong Beach,8,Very Good,17,,Standard King Room,1 queen bed,"   75,810"
Samed Cliff Resort,"Ao Noi Nha, Ko Samed",6.8,Review score,44,,Standard Double Room,1 king bed,"   186,322"
Lanta Amara Resort,"Long Beach, Ko Lanta",9.4,Wonderful,63,9.7,Large Double Room,1 king bed,"   95,262"
Nasa Bangkok - SHA PLUS Certified,Bangkok,7.9,Good,"2,688",8.1,Standard Double or Twin Room,   1 double or 2 twins,"   52,079"
"Nature Beach Resort, Koh Lanta","Klong Nin Beach, Ko Lanta",8.4,Very Good,344,8.3,Double Room with Fan,1 full bed,"   26,201"
Blue View House Phi Phi,Phi Phi Islands,8.1,Very Good,494,8,Double Room with Balcony,1 queen bed,"   89,279"
Villa Navin,Jomtien Beach,6.7,Review score,368,,Deluxe Studio,1 queen bed,"   66,959"
The Malika Hotel - SHA Extra Plus,Phuket,8.7,Excellent,489,9.2,Room with City View,1 queen bed,"   97,042"
Forra Dive Resort Pattaya Beach,"Ko Lipe Pattaya Beach, Ko Lipe",6.9,Review score,74,,Standard Bungalow with Garden View,1 queen bed,"   60,998"
Chanchalay Hip Hostel SHA Extra Plus,Krabi,9.1,Wonderful,473,9.2,Double or Twin room with shared bathroom (Air conditioning),   1 double or 2 twins,"   32,902"
The Ozone Krabi Condotel,Krabi,8.3,Very Good,167,8.4,Triple Room with Mountain View,1 full bed,"   72,181"
Wixky hotel,Nong Khai,7.9,Good,24,,Deluxe Queen Room,1 queen bed,"   64,048"
Andaman Pearl Resort,Ao Nang Beach,8.5,Very Good,167,8.7,Deluxe Room,   1 double or 2 twins,"   82,153"
Cliff Cottage,"Bang Bao Bay, Ko Chang",8.7,Excellent,247,8.2,Tent- Mongolian Tent for 2 Adults,2 twin beds,"   58,225"
Phuket Beach Glamping,Rawai Beach,7.8,Good,48,,Geo Tent,1 queen bed,"   295,702"
Bansaeo Garden and Resort,Chiang Saen,8.8,Excellent,62,9.2,Deluxe Double Room with Bath,1 queen bed,"   129,390"
Elixir Koh Yao Yai - SHA Plus,Ko Yao Yai,8.8,Excellent,242,8.9,Superior Villa,1 full bed,"   168,386"
Momento Resort,Pattaya South,7.1,Good,807,,Double Room with Private Bathroom,1 king bed,"   42,052"
Sun Inn,Songkhla,8.4,Very Good,137,8.9,Standard Queen Room,1 queen bed,"   48,393"
The Patong Center Hotel-SHA Certified,Patong Beach,7.3,Good,110,,Deluxe Double Room,1 full bed,"   49,110"
The Chanthong Residence and Hotel Pattaya,Pattaya,8.3,Very Good,40,8.4,Standard Double Bed Room with Street View,1 king bed,"   41,806"
Koh Phaluai Beach Bangalow,Ban Ko Nok Taphao,9.1,Wonderful,36,8.3,Bungalow with Garden View,1 full bed,"   92,190"
Krabi River Hotel,Krabi,8.5,Very Good,359,8.5,Twin Room with Sea View,2 twin beds,"   63,469"
Atlantis Condo Resort jomtien,Jomtien Beach,6.6,Review score,80,,Standard Apartment,"2 beds (1 king, 1 sofa bed)","   70,938"
Kata Max Luxe1,Ban Karon,,,,,Two-Bedroom Villa,"3 beds (1 sofa bed, 2 queens)","   42,773"
"The Hideaway, Koh Lipe","Ko Lipe Sunrise Beach, Ko Lipe",7.9,Good,258,,Double Room with Garden View,1 queen bed,"   3,765,403"
Baan Chaylay Resort Karon,Karon Beach,7.9,Good,165,8.1,Standard Double Room,1 king bed,"   40,296"
Cocoo-n Beach Hotel,Patong Beach,6.1,Review score,33,,Standard King Room,1 king bed,"   28,071"
Chom Suan Homestay,"Klong Chao Beach, Ko Kood",7,Good,13,,Deluxe Double Room,1 full bed,"   64,695"
Hotel Scarlett,Ban Ba Ngan,9.1,Wonderful,39,9.6,Superior Double Room,1 king bed,"   80,869"
Phranang Place- SHA Extra,Ao Nang Beach,8.2,Very Good,305,8.4,Superior Double Room,   1 double or 2 twins,"   66,543"
Tropical Garden Bungalow,Phi Phi Islands,6.8,Review score,339,,Fan Bungalow Twin Bed,2 twin beds,"   52,403"
Easy Life Bungalows,Haad Yao,7.2,Good,52,,Superior Bungalow,1 full bed,"   35,582"
White Orchid Inn II,"Khlong Toei, Bangkok",5.2,Review score,82,,Superior Double Room,1 full bed,"   40,758"
Rawai Whale Resort,Rawai Beach,8.1,Very Good,41,8.2,King Studio,1 queen bed,"   50,277"
NN Apartment,Pattaya South,8.6,Excellent,175,9,Deluxe Double Room,1 king bed,"   37,847"
7 Days Premium Hotel Pattaya,"Pattaya Walking Street, Pattaya South",7.4,Good,497,,Deluxe Double or Twin Room with City View,   1 double or 2 twins,"   69,172"
Grand Mansion Hotel,Krabi,7.5,Good,26,8,Standard Double or Twin Room with Air Conditioning,   1 double or 2 twins,"   36,876"
VX The Fifty,"Khlong Toei, Bangkok",7.5,Good,243,,Bed in 4-Bed Dormitory Room,1 full bed,"   27,107"
"Baan Suan Kayoo 2, ??????????????????? ??????????? ????????",Ko Phayam,8.9,Excellent,52,8.4,Bungalow with Fan,1 queen bed,"   30,116"
Phi Phi Sand Sea View Resort,"Tonsai Bay, Phi Phi Islands",7.1,Good,"1,197",,Standard Double Room (Building),1 queen bed,"   62,107"
"Pailin Pool Villa, Hua Hin",Hua Hin,8.8,Excellent,54,9.2,Superior Villa,1 queen bed,"   199,843"
Silver Resortel,Patong Beach,8.1,Very Good,290,8.6,Standard King Room,1 king bed,"   54,159"
Veranda Lodge,Hua Hin,7.8,Good,304,8.1,Garden Bungalow,1 king bed,"   242,051"
Golden Nest Hotel Suvarnabhumi,Bangkok,8,Very Good,187,8.5,Economy Double Room,1 king bed,"   83,225"
JJ Beach Resort & JJ Seafood,"Aow Yai Beach, Ko Phayam",9.1,Wonderful,121,9,Deluxe Bungalow,1 queen bed,"   70,240"
64House,"Chang Moi, Chiang Mai",8.2,Very Good,81,8.2,Triple Room with Bath,"2 beds (1 twin, 1 queen)","   78,581"
Nam Talay Resort,Pran Buri,8.2,Very Good,115,8.5,Standard Double Room,1 full bed,"   49,445"
Baan Suan Rim Klong,"Klong Khong Beach, Ko Lanta",9,Wonderful,193,9.1,Superior Double Room,1 king bed,"   49,882"
O'nya Phuket Hotel - SHA Extra Plus,Phuket,8.5,Very Good,112,9.1,Superior Double or Twin Room,"3 beds (2 twins, 1 queen)","   59,650"
The Loft Panwa Resort,Panwa Beach,8.8,Excellent,88,8.9,Standard Double or Twin Room with Garden View,Multiple bed types,"   93,327"
Sugar Marina Resort - ART - Karon Beach - SHA Plus,Karon Beach,8.2,Very Good,607,8.4,Deluxe Double or Twin Room,Multiple bed types,"   108,659"
Park 38 Hotel - SHA Plus,Phuket,7.9,Good,23,,Superior Twin Room,2 twin beds,"   74,238"
Erawan House,"Khaosan, Bangkok",7.5,Good,259,,Superior Double Room,1 full bed,"   67,930"
Rocco Hua Hin Beach Seaview,Hua Hin,7.5,Good,315,,Studio with Sofa Bed,"2 beds (1 sofa bed, 1 queen)","   139,738"
Has Pattaya,Pattaya South,8.2,Very Good,94,8.8,Superior Double or Twin Room with City View,1 king bed,"   110,628"
Madina Rayong Hotel,Rayong,7.6,Good,5,8,Standard Twin Room,2 twin beds,"   109,335"
Saisawan Beach Resort,Na Jomtien,7.8,Good,79,8.4,Deluxe Room with City View,   1 double or 2 twins,"   105,037"
????????????,Ban Don Rak,8.6,Excellent,33,9,Double Room with Private Bathroom,1 king bed,"   35,628"
Jaroonwej Bangsaen,Bangsaen,5.8,Review score,128,,Standard Apartment,1 king bed,"   58,435"
P'Un House,"Sairee Beach, Ko Tao",7.6,Good,127,,Standard Double Room with Air-Conditioning,1 full bed,"   48,554"
Srisomthai Hotel,Ubon Ratchathani,7.8,Good,12,8.1,Standard Double Room,1 full bed,"   32,994"
Andaman Bay Bungalow,"Klong Khong Beach, Ko Lanta",7.1,Good,72,,Budget Double Room,1 full bed,"   22,643"
President Hotel Udonthani,Udon Thani,8.1,Very Good,80,8.4,Deluxe Double Room,1 queen bed,"   60,490"
?????????????????,Sangkhla Buri,8,Very Good,43,8.4,Double Room,1 king bed,"   61,137"
Phalarn Inn Resort,Mae Nam,7.5,Good,179,,Two-Bedroom Cottage,"2 beds (1 full, 1 queen)","   116,451"
Poseidon Bungalows,Khao Lak,7.9,Good,240,,Bungalow with Sea View,"3 beds (1 full, 2 bunk beds)","   94,886"
65 hostel chiangmai,Chiang Mai,6.7,Review score,40,,Double or Twin Room with Bathroom,1 full bed,"   32,347"
65 hostel chiangmai,Chiang Mai,6.7,Review score,40,,Double or Twin Room with Bathroom,1 full bed,"   32,347"
Diary Suite,Nakhon Pathom,8.5,Very Good,205,8.8,Deluxe Twin Room,2 twin beds,"   54,991"
Shanti Lodge Phuket,Chalong,7.8,Good,138,,Double Room with Shared Bathroom,"3 beds (2 twins, 1 queen)","   49,556"
????????????? ? ????????(Once upon a time),"Chiang Khan Walking Street, Chiang Khan",7.5,Good,38,8,Double Room with Shared Bathroom,1 king bed,"   32,994"
Rasta view Bangalows,Ban Khlong Kloi,7.4,Good,29,,Double Room,1 full bed,"   29,113"
Garden Corner Resort & Hotel,Phitsanulok,7.4,Good,157,,Standard King Room,1 king bed,"   38,817"
D5 Hotel ???? ?????????,Chon Buri,8.7,Excellent,179,8.8,Deluxe Double Room,1 queen bed,"   32,445"
U Hostel Haad Rin,Ko Phangan,8,Very Good,84,,Economy Quadruple Room,2 bunk beds,"   113,986"
No. 8 Pai,Pai,8.4,Very Good,181,8.6,Standard Double Room with Fan,1 full bed,"   32,347"
Norn Talay Surin Beach Phuket,Surin Beach,7.9,Good,714,8.1,Deluxe Double or Twin Room with Sea View,"2 beds (1 sofa bed, 1 queen)","   344,861"
Oriole Residence - Suvarnabhumi,Ban Khlong Thewa,8.8,Excellent,166,9.2,Standard King Room,1 king bed,"   90,573"
?????????????? ???????????? ???? Impact,Thung Si Kan,7.4,Good,68,,Standard Twin Room,2 twin beds,"   58,919"
"Holiday Style Ao Nang Beach Resort, Krabi","Nopparat Thara Beach, Ao Nang Beach",8.2,Very Good,"1,098",8.5,Superior Double or Twin Room with Garden View,1 full bed,"   102,204"
Escape Beach Resort - SHA Extra Plus Certified,Mae Nam,8.2,Very Good,"1,583",8.6,Economy Double Room,1 king bed,"   119,778"
Avani Plus Riverside Bangkok Hotel,"Thonburi, Bangkok",9,Wonderful,754,9.4,Avani River View Two Bedroom Suite,"4 beds (2 twins, 1 king, 1 sofa bed)","   1,724,635"
VELA Dhi Udon Thani,Udon Thani,8.9,Excellent,269,9.4,Deluxe Twin Room,2 twin beds,"   145,564"
Anahata Resort - SHA Plus,Lipa Noi,8.9,Excellent,339,9.1,Superior Bungalow,1 full bed,"   178,558"
Outrigger Surin Beach Resort - SHA Extra Plus,Surin Beach,9.1,Wonderful,355,9.5,Grand Surin Suite 1 King,1 king bed,"   548,629"
Yao Yai Beach Resort,Ko Yao Yai,8.5,Very Good,364,8.8,Standard Room - No Sea View,1 queen bed,"   152,717"
The Peri Hotel Khao Yai,Phayayen,8,Very Good,235,8.4,King Room with Mountain View,1 king bed,"   197,905"
Khao Sok Jungle Huts Resort,Khao Sok National Park,8.2,Very Good,800,8.1,Bungalow with Air-Conditioner,1 full bed,"   65,989"
The Sunnery Ville,Lom Kao,8.4,Very Good,118,8.7,King Room with Mountain View,1 king bed,"   102,865"
Anana Ecological Resort Krabi-SHA Extra Plus,Ao Nang Beach,8.9,Excellent,"1,128",9.2,Superior Double or Twin Room,1 king bed,"   206,895"
Hotel Ibis Samui Bophut,Bophut,7.6,Good,"1,183",8,Standard Twin Room,2 twin beds,"   93,885"
VST Residence -SHA PLUS Certified,Ban Khlong Bang Ping,8.4,Very Good,79,8.8,Superior Twin Room,2 twin beds,"   80,222"
VST Residence -SHA PLUS Certified,Ban Khlong Bang Ping,8.4,Very Good,79,8.8,Superior Twin Room,2 twin beds,"   80,222"
Na Siri Lake View,Samut Prakan,7.6,Good,"1,019",8,Apartment with Garden View,2 twin beds,"   76,392"
Hivetel,Chalong,7.8,Good,222,8.2,Standard Double Room,1 king bed,"   84,230"
Hotel Tide Phuket Beach front - SHA Plus,Phuket,8.4,Very Good,"1,664",9,Deluxe Room,1 queen bed,"   192,737"
Amatara Welleisure Resort - SHA Extra Plus,Panwa Beach,8.6,Excellent,727,8.9,Cape Panwa Suite,1 king bed,"   510,887"
Style Paidoi Resort,Ban Pa Yang (3),9.6,Exceptional,7,9.6,Tent,1 full bed,"   74,780"
The Heritage Chiang Rai Hotel and Convention - SHA Extra Plus,Chiang Rai,8.7,Excellent,828,9.1,Deluxe Double Room,1 king bed,"   109,504"
Koh Tao Relax Freedom Beach Resort,"Chalok Baan Kao, Ko Tao",9,Wonderful,537,9.1,Superior House - Hillside (Free pick up and drop off at Mae Haad Pier),1 king bed,"   153,882"
@T Boutique Hotel,Klong Wan,8.2,Very Good,275,8.4,Family Room,"3 beds (1 full, 2 bunk beds)","   238,797"
Rayong Marriott Resort & Spa,Klaeng,7.9,Good,340,8.3,Deluxe King Room with Mountain View,"2 beds (1 full, 1 king)","   316,862"
Tiki Beach Koh Phangan,Ban Tai,8,Very Good,532,,Deluxe Bungalow with Garden View,"2 beds (1 twin, 1 full)","   166,733"
Coconut Beach Bungalows,Chaloklum,9.3,Wonderful,100,9.2,Two-Bedroom Bungalow,2 queen beds,"   339,875"
Venice Krabi Villa Resort- SHA Plus,Ao Nam Mao,8.9,Excellent,345,9.6,Lagoon Grand Deluxe Twin,2 twin beds,"   203,026"
O2 Hotel Lopburi,Lop Buri,7.6,Good,425,8.2,Superior King Room,1 king bed,"   54,991"
Hotel Agnes,Buriram,8.8,Excellent,53,9.2,Large Twin Room,Multiple bed types,"   93,161"
The Dorm Hostel,Ban Lo Long,8.7,Excellent,90,8.9,Bunk Bed in Mixed Dormitory Room,1 queen bed,"   40,269"
Somerset Pattaya - SHA Plus,Pattaya,8.9,Excellent,159,9.3,Deluxe Twin Room,2 twin beds,"   323,004"
Inpawa Hotel,Ban Phai,8.2,Very Good,99,8.6,Superior Double Room,1 queen bed,"   77,634"
Chiangkhong Teak Garden Riverfront Onsen Hotel- SHA Extra Plus,Chiang Khong,8.3,Very Good,192,8.7,Resort Garden View,Multiple bed types,"   87,809"
Island Escape by Burasari - SHA Extra Plus,Phuket,8.5,Very Good,"1,388",9.2,Deluxe Room with Schedule Boat Transfer,   1 double or 2 twins,"   318,817"
???????????????? ???????? Double D hotel,Pak Kret,8.6,Excellent,43,8.9,Deluxe King Room,1 king bed,"   86,756"
"Tawaravadee Resort, BW Signature Collection","304 Industrial Park, Si Maha Phot",8.2,Very Good,96,8.8,Superior Double Room,1 full bed,"   88,520"
Lub d Phuket Patong,Patong Beach,8.1,Very Good,893,8.4,Junior Twin Room,2 twin beds,"   85,926"
The Waters Khao Lak by Katathani - SHA Extra Plus,"Bang Niang Beach, Khao Lak",8.7,Excellent,358,9,Upper Pool Access Room,   1 double or 2 twins,"   157,856"
VILLA DEVA RESORT AND HOTEL,"Sathorn, Thung Maha Mek",9.7,Exceptional,9,9.7,Deluxe Twin Pool View,2 twin beds,"   511,090"
Panviman Chiang Mai Spa Resort,Mae Rim,8.7,Excellent,257,8.9,Valley Deluxe Double Room,1 king bed,"   191,486"
Napa Hotel Ratchaburi,Ratchaburi,8.5,Very Good,134,8.8,Superior Twin Room,2 twin beds,"   78,558"
Centre Point Hotel Terminal21 Korat,Nakhon Ratchasima,8.9,Excellent,866,9.4,Deluxe King Room 2 Pax,1 king bed,"   124,492"
Fortune River View Hotel Nakhon Phanom,Nakhon Phanom,8.2,Very Good,324,8.6,Deluxe River View Room,2 twin beds,"   153,903"
Fortune Riverview Hotel Chiang Khong,Chiang Khong,8,Very Good,189,8.5,Superior Double or Twin Room with Pool View,Multiple bed types,"   113,118"
"Holiday Inn Resort Samui Bophut Beach, an IHG Hotel","Fisherman Village, Bophut",8.7,Excellent,173,9.2,Standard King Room with Balcony,1 king bed,"   245,388"
Outrigger Khao Lak Beach Resort - SHA Extra Plus,"Bangsak Beach, Khao Lak",9.2,Wonderful,407,9.6,Deluxe Garden Balcony - King Bed,1 king bed,"   173,243"
Outrigger Koh Samui Beach Resort - SHA Extra Plus,Lamai,8.5,Very Good,290,9.1,Superior Balcony -King Bed,1 king bed,"   225,835"
Katiliya Mountain Resort And Spa,Mae Salong Nai,8.7,Excellent,161,9,Standard Suite,1 king bed,"   285,952"
Grand Inter Hotel,Samut Sakhon,8.2,Very Good,464,8.4,Deluxe Double Room with Balcony,1 king bed,"   57,084"
JonoX Phuket Karon Hotel,Karon Beach,8.6,Excellent,203,8.7,Recharge,Multiple bed types,"   143,756"
Scandia Beach Hotel,Jomtien Beach,7.3,Good,775,,Superior Twin Room with Balcony,2 twin beds,"   39,771"
Come Moon Loft Hotel,Phrae,8.5,Very Good,321,8.8,Double Room,1 full bed,"   45,998"
Lady Naya Villas - SHA Extra Plus,Rawai Beach,9.1,Wonderful,315,9.3,Deluxe Double or Twin Room with Pool Access,Multiple bed types,"   135,859"
Fortune View Khong Hotel Nakhon Phanom,Nakhon Phanom,8.4,Very Good,343,8.8,Superior Double Room with City View,1 full bed,"   95,793"
Dusit Thani Krabi Beach Resort - SHA Extra Plus,Klong Muang Beach,8.7,Excellent,515,9.1,Deluxe King Room,1 king bed,"   368,524"
Centra by Centara Hotel Mae Sot,Mae Sot,7.7,Good,143,8.3,Superior Twin Room,2 twin beds,"   63,237"
The Oceanic Sportel - SHA Extra Plus,Phuket,8.2,Very Good,669,9.2,Deluxe King Room,1 king bed,"   114,926"
Novotel Marina Sriracha & Koh Si Chang,Si Racha,8.5,Very Good,655,9.1,"Premiere, Deluxe Room, Lounge Access, Sea View - 1 King Bed Sea View and Lounge Access",1 king bed,"   233,253"
????????3???????????????????????,Ban Ko Mu (1),8,Very Good,1 review,10,Budget Double Room,1 full bed,"   32,994"
Riverfront Hotel Mukdahan,Mukdahan,7.8,Good,206,8.1,Standard Double Room,1 queen bed,"   66,959"
The Journey Hotel Bangna,Samut Prakan,8.7,Excellent,469,9.1,Standard King Room,1 full bed,"   68,725"
X10 Khaolak Resort SHA Plus,Khao Lak,8.9,Excellent,178,9.2,Deluxe Double or Twin Room - Family Wing,   1 double or 2 twins,"   136,007"
Namaka Resort Kamala - SHA Extra Plus,Kamala Beach,7.8,Good,905,8.3,Premier Room with Sea View,1 queen bed,"   217,410"
SKYVIEW Hotel Bangkok - SHA Extra Plus,"Khlong Toei, Bangkok",8.6,Excellent,"3,376",9.2,Premier,Multiple bed types,"   360,687"
Diamond Resort Phuket - SHA,Bang Tao Beach,8.8,Excellent,754,9,Deluxe Suite Double,"2 beds (1 full, 1 sofa bed)","   222,840"
Blue Sky Residence Airport,Ban Bang Phli Yai,7.9,Good,221,8.3,Superior Twin Room,2 twin beds,"   57,039"
Sukantara Cascade Resort and Spa,Mae Rim,8.8,Excellent,85,8.8,Deluxe Jacuzzi Panorama,1 queen bed,"   305,915"
Huernnana Boutique Hotel,Phrae,7,Good,95,,Nana Deluxe Twin Room,2 twin beds,"   139,908"
Amari Phuket,Patong Beach,8.2,Very Good,"1,213",8.4,One-Bedroom Suite,1 queen bed,"   610,760"
Paripas Patong Resort - SHA Extra Plus,Patong Beach,8,Very Good,"1,354",8.4,Deluxe Twin or Double Room with Balcony (No View),   1 double or 2 twins,"   116,399"
The Canal 304,"304 Industrial Park, Si Maha Phot",8.9,Excellent,158,8.9,Luxury Suite,1 king bed,"   155,268"
Mövenpick Resort Khao Yai,Ban Wang Sai,7.6,Good,397,8,Deluxe King Room,1 full bed,"   260,327"
Phuphavaree by Tahug Sai Yok,Ban Ai Hit,7.3,Good,12,,Tent,1 queen bed,"   55,379"
La Miniera Pool Villas Pattaya - SHA Plus,Nong Prue,8.8,Excellent,27,9.4,Pool Villa,Multiple bed types,"   495,891"
